domain;ip;certificate_is_valid;status_https
fqdn_akamai;N/A;N/A;N/A
www.unicredit.asia,217.24.223.67,NON_OK,Error: 
unicredit.asia,217.24.223.67,NON_OK,Error: 
research.bank-austria.at,162.25.25.78,NON_OK,Error: 
www.regional.bank-austria.at,193.154.180.217,NON_OK,Error: 
pop.bank-austria.at,213.150.2.40,NON_OK,Error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'pop.bank-austria.at'. (_ssl.c:1006)
online2.bank-austria.at,213.150.2.52,NON_OK,Error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'online2.bank-austria.at'. (_ssl.c:1006)
online1.bank-austria.at,213.150.2.51,NON_OK,Error: 
online0.bank-austria.at,213.150.2.50,NON_OK,Error: 
online.bank-austria.at,213.150.2.37,NON_OK,Error: All connection attempts failed
msm99.bank-austria.at,213.150.2.39,NON_OK,Error: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'msm99.bank-austria.at'. (_ssl.c:1006)
msm.bank-austria.at,213.150.2.38,NON_OK,Error: 
mbsipq.bank-austria.at,162.25.25.16,NON_OK,Error: 
mbsip.bank-austria.at,62.122.86.151,NON_OK,Error: All connection attempts failed
uat.online.international.bank-austria.at,213.150.2.203,NON_OK,Error: 
tw4.online.international.bank-austria.at;N/A;N/A;N/A
dev.online.international.bank-austria.at;N/A;N/A;N/A
online.international.bank-austria.at;N/A;N/A;N/A
young-potentials-qatest.bankaustria.at,217.148.100.79,NON_OK,Error: 
www.bankaustria.at,23.1.78.162,OK,Error: 
wunschkredit.bankaustria.at,23.1.71.206,OK,Error: 
wohnkreditrechner.bankaustria.at,23.1.71.206,OK,Error: 
www.wohnkredit.bankaustria.at,23.1.71.206,OK,403
wohnkredit.bankaustria.at,23.1.71.206,OK,Error: 
wohnfinanzierungen.bankaustria.at,23.1.71.206,OK,Error: 
wohnbaubank.bankaustria.at,23.1.71.206,OK,Error: 
wirtschaft-online-qatest.bankaustria.at,217.148.100.71,NON_OK,Error: 
wirtschaft-online-prtest.bankaustria.at,217.148.100.84,NON_OK,Error: 
wirtschaft-online.bankaustria.at,23.1.71.206,OK,Error: 
